client,site,inicio,fim,num_med,mean_time,file_prefix
Miguel,gru03,2025-08-01 00:02:31+00:00,2025-08-30 20:47:45+00:00,163,4.4,Miguel_gru03
Miguel,RNP-RJ,2025-08-01 02:02:29+00:00,2025-08-30 22:22:43+00:00,343,2.1,Miguel_RNP-RJ
Miguel,gru02,2025-08-01 03:32:29+00:00,2025-08-30 19:17:49+00:00,158,4.5,Miguel_gru02
edworld,gru03,2025-08-01 02:37:18+00:00,2025-08-30 22:28:11+00:00,173,4.2,edworld_gru03
edworld,RNP-RJ,2025-08-01 00:57:47+00:00,2025-08-30 20:18:27+00:00,304,2.4,edworld_RNP-RJ
edworld,gru02,2025-08-01 05:13:07+00:00,2025-08-30 16:19:00+00:00,163,4.4,edworld_gru02
curi,gru03,2025-08-01 00:58:15+00:00,2025-08-30 19:54:32+00:00,106,6.8,curi_gru03
curi,RNP-RJ,2025-08-01 01:28:15+00:00,2025-08-30 22:54:33+00:00,267,2.7,curi_RNP-RJ
curi,gru02,2025-08-01 06:16:48+00:00,2025-08-30 13:19:39+00:00,116,6.1,curi_gru02
Gigalink-RIOS,gru03,2025-08-01 03:28:46+00:00,2025-08-30 20:10:57+00:00,162,4.4,Gigalink-RIOS_gru03
Gigalink-RIOS,RNP-RJ,2025-08-01 04:28:47+00:00,2025-08-30 22:21:49+00:00,371,1.9,Gigalink-RIOS_RNP-RJ
Gigalink-RIOS,gru02,2025-08-01 01:28:46+00:00,2025-08-30 11:29:57+00:00,129,5.5,Gigalink-RIOS_gru02
theo,gru03,2025-08-02 01:27:08+00:00,2025-08-30 13:04:24+00:00,170,4.0,theo_gru03
theo,RNP-RJ,2025-08-01 21:17:54+00:00,2025-08-30 22:45:19+00:00,325,2.2,theo_RNP-RJ
theo,gru02,2025-08-01 19:09:00+00:00,2025-08-30 18:18:17+00:00,149,4.7,theo_gru02
teste,RNP-RJ,2025-08-05 21:32:50+00:00,2025-08-21 14:33:34+00:00,163,2.3,teste_RNP-RJ
Gigalink-NOF,gru03,2025-08-05 16:22:35+00:00,2025-08-30 20:17:15+00:00,129,4.7,Gigalink-NOF_gru03
Gigalink-NOF,RNP-RJ,2025-08-05 15:31:33+00:00,2025-08-30 23:35:01+00:00,311,2.0,Gigalink-NOF_RNP-RJ
Gigalink-NOF,gru02,2025-08-06 04:55:49+00:00,2025-08-30 17:16:11+00:00,123,4.8,Gigalink-NOF_gru02
