timestamp,confs_vote_1,confs_vote_2,confs_vote_3,confs_vote_4,confs_vote_5,confs_vote_6,confs_vote_7,confs_vote_8,confs_vote_9,confs_vote_10,confs_vote_11,confs_vote_12,confs_vote_13,confs_vote_14,confs_vote_15,confs_vote_16,confs_vote_17,confs_vote_18,confs_vote_19,confs_vote_20
2025-08-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 00:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 01:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 02:00:00,0.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 02:30:00,0.7056,0.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 03:00:00,0.8281,0.7056,0.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 03:30:00,0.9216,0.8281,0.7056,0.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 04:00:00,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 04:30:00,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 05:00:00,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 05:30:00,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 06:00:00,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0,0,0,0,0,0,0,0
2025-08-01 06:30:00,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0,0,0,0,0,0,0
2025-08-01 07:00:00,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0,0,0,0,0,0
2025-08-01 07:30:00,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0,0,0,0,0
2025-08-01 08:00:00,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0,0,0,0
2025-08-01 08:30:00,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0,0,0
2025-08-01 09:00:00,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0,0
2025-08-01 09:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 10:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 10:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 11:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 11:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 12:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 12:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 13:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 13:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 14:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 14:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 15:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 15:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 16:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 16:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-01 17:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
